DIFFICULTY,CHANNELS,CHANNEL_INDEX,ELAPSED_TIME
15,64,56,63.556ms
15,64,2,3.845ms
15,64,2,59.130959ms
15,64,56,10.333417ms
15,64,2,22.954833ms
15,64,56,65.221084ms
15,64,10,82.344042ms
15,64,54,67.977209ms
15,64,2,62.684292ms
15,64,2,2.052917ms
15,64,2,141.359042ms
15,64,31,45.43275ms
15,64,54,178.8855ms
15,64,54,116.809542ms
15,64,54,58.670333ms
15,64,36,182.855708ms
15,64,10,298.781209ms
15,64,4,231.765167ms
15,64,1,443.445875ms
15,64,7,69.075375ms
15,64,19,356.220792ms
15,64,36,264.44325ms
15,64,31,210.767583ms
15,64,43,49.659ms
15,64,19,6.194792ms
15,64,1,17.233417ms
15,64,1,207.494417ms
15,64,10,8.455875ms
15,64,2,24.333459ms
15,64,6,340.0405ms
15,64,31,829.833µs
15,64,47,332.932083ms
15,64,36,1.370083ms
15,64,1,4.967083ms
15,64,36,4.494417ms
15,64,31,54.54775ms
15,64,36,2.495875ms
15,64,43,84.522ms
15,64,19,11.5505ms
15,64,31,8.160292ms
15,64,2,59.330625ms
15,64,31,32.4165ms
15,64,7,129.403417ms
15,64,31,88.183917ms
15,64,47,134.205667ms
15,64,31,1.848333ms
15,64,19,4.112875ms
15,64,31,117.695875ms
15,64,10,145.315708ms
15,64,47,139.289958ms
15,64,36,139.227958ms
15,64,2,5.625417ms
23,64,27,4.426600958s
23,64,27,8.617108875s
23,64,27,11.169181041s
24,64,21,5.714004667s
24,64,38,3.821632209s
24,64,26,4.42861325s
24,64,62,4.28206375s
24,64,8,3.852444625s
24,64,62,17.3146235s
24,64,45,6.620000375s
22,64,53,196.306375ms
24,64,28,22.34715075s
22,64,28,2.225070042s
22,64,40,22.022633167s
24,64,33,26.266958833s
16,64,10,12.690334ms
16,64,27,33.055333ms
16,64,41,75.38125ms
16,64,29,25.618458ms
16,64,40,71.015958ms
16,64,35,375.74725ms
24,64,45,16.204526166s
16,64,32,253.19175ms
16,64,49,127.582625ms
16,64,60,90.921625ms
16,64,20,439.942917ms
16,64,44,95.210958ms
16,64,48,8.768584ms
16,64,5,156.1515ms
16,64,23,60.140875ms
16,64,57,2.989792ms
16,64,63,256.625µs
16,64,40,156.249834ms
16,64,20,79.086917ms
16,64,8,587.494042ms
16,64,49,329.360625ms
16,64,11,277.98425ms
16,64,37,48.969042ms
16,64,0,15.771291ms
16,64,22,337.348875ms
16,64,0,1.409751125s
16,64,51,91.091541ms
16,64,37,318.446416ms
16,64,51,512.974709ms
16,64,60,28.695416ms
16,64,62,774.483417ms
16,64,39,304.866625ms
16,64,26,522.520833ms
16,64,9,12.637709ms
16,64,62,2.868667ms
16,64,30,85.576ms
16,64,17,25.609291ms
16,64,35,127.500584ms
16,64,7,45.048334ms
16,64,37,5.130333ms
16,64,51,641.18025ms
16,64,22,803.130459ms
16,64,55,588.541583ms
16,64,3,1.100270291s
16,64,60,768.963584ms
16,64,23,8.409667ms
16,64,47,268.226125ms
16,64,54,215.479291ms
16,64,0,279.537875ms
16,64,7,226.623875ms
16,64,47,72.47425ms
16,64,4,227.2455ms
16,64,26,443.040958ms
16,64,26,6.268708ms
16,64,62,1.06730675s
16,64,21,77.705458ms
16,64,45,224.471959ms
16,64,47,42.114625ms
16,64,22,45.416084ms
16,64,0,84.814792ms
16,64,58,628.168583ms
16,64,13,413.559ms
16,64,46,912.766834ms
16,64,50,328.943792ms
16,64,51,1.18180725s
16,64,2,678.975041ms
25,64,6,15.621985792s
16,64,5,1.392242s
16,64,59,677.759ms
16,64,55,62.05575ms
16,64,42,1.56675575s
16,64,60,284.40075ms
16,64,18,914.594209ms
16,64,51,311.027875ms
16,64,37,1.143431125s
16,64,42,34.149708ms
16,64,15,149.62175ms
16,64,9,1.604184792s
16,64,3,960.618333ms
16,64,4,182.737959ms
16,64,22,532.010292ms
16,64,43,180.033875ms
16,64,16,139.751625ms
16,64,3,241.569416ms
16,64,41,1.167904167s
16,64,8,716.004875ms
16,64,11,39.145083ms
16,64,20,1.112361584s
16,64,10,2.116804125s
16,64,22,874.904667ms
16,64,21,2.598647291s
16,64,29,198.158708ms
16,64,29,1.644268834s
16,64,49,824.639ms
16,64,62,631.326041ms
16,64,44,1.27109175s
16,64,61,1.02917425s
16,64,26,451.566583ms
16,64,2,1.461320875s
16,64,52,249.2145ms
16,64,18,1.399083s
16,64,19,2.55224525s
16,64,25,391.339ms
16,64,15,2.537667ms
16,64,54,60.372334ms
16,64,15,2.815031167s
16,64,22,4.322226917s
16,64,62,207.951542ms
16,64,41,2.138959ms
25,64,58,15.295060375s
25,64,35,796.956333ms
16,64,3,255.586208ms
16,64,35,357.46925ms
16,64,15,2.16551275s
16,64,43,918.509709ms
16,64,61,1.283177833s
16,64,20,111.229708ms
16,64,17,581.587042ms
16,64,20,374.51325ms
